;;;;;;
Территория;Все население ;;Городское население;;Сельское население ;
;Мужчины;Женщины;Мужчины;Женщины;Мужчины;Женщины
Российская Федерация;6,39;7,7;6,18;7,52;7,05;8,24
Центральный федеральный округ;5,48;6,81;5,18;6,61;7,12;7,78
Белгородская область;5,05;4,7;5,53;5,59;4,18;2,96
Брянская область;5,44;6,55;4,13;7,65;9,47;3,87
Владимирская область;9,41;8,8;4,97;5,72;26,65;19,27
Воронежская область;5,26;7,82;4,02;6,04;8,03;11,34
Ивановская область;4,39;3,86;4,88;3,83;2,53;4
Калужская область;12,85;8,06;15,84;9,3;3,68;3,68
Костромская область;5,54;4,5;8,38;5,6;0,79;1,86
Курская область;4,48;4,29;2,12;3,46;9,78;5,95
Липецкая область;8,94;10,22;4,67;8,82;15,89;12,63
Московская область;7,74;5,82;8,62;6,06;3,07;4,66
Орловская область;4,04;6,62;1,96;6,14;8,29;7,6
Рязанская область;5,71;6,73;7,98;9,28;-;0,99
Смоленская область;3,75;5,34;3,9;6,21;3,33;2,93
Тамбовская область;4,22;6;6,55;5,38;-;6,87
Тверская область;5,96;9,48;2,79;6,09;14,67;20,21
Тульская область;7,82;13,48;9,47;14,73;2,58;8,25
Ярославская область;2,34;4,89;0,32;2,65;14,6;14,92
г. Москва;3,78;6,65;3,78;6,65;-;-
Северо-Западный федеральный округ;6,98;9,74;6,73;9,11;8,61;12,95
Республика Карелия;8;9,13;8,95;9,68;4,95;7,21
Республика Коми;4,38;8,46;2,24;10,17;10,23;3,59
Архангельская область;4,96;3,75;3,56;2,56;11,73;7,15
Ненецкий авт. округ;1,48;1,51;1,83;-;-;4,44
Архангельская область без автономии;5,08;3,81;3,61;2,62;12,19;7,25
Вологодская область;4,4;6,48;5,74;7,4;0,68;4,24
Калининградская область;9,06;17,19;10;16,58;5,55;19,34
Ленинградская область;2,92;4,75;2,16;3,34;4,57;7,59
Мурманская область;6,51;12;7,03;12,65;-;3,58
Новгородская область;15,5;25,22;6,62;11,4;42,09;57,11
Псковская область;19,9;22,83;23,07;24,47;11,09;18,92
 г. Санкт-Петербург;7,02;8,57;7,02;8,57;-;-
Южный федеральный округ;12,1;13,98;11,89;14,91;12,46;12,43
Республика Адыгея;15,01;15,74;26,51;24,35;4,75;7,26
Республика Калмыкия;0;1,52;-;3,03;-;-
Республика Крым;16,59;16,15;6,23;11,14;27,5;21,15
Краснодарский край;4,28;7,13;2,5;5,66;6,44;8,82
Астраханская область;2,66;1,95;0;1,03;10,8;3,88
Волгоградская область;9,97;11,2;12,66;11,99;2,44;8,16
Ростовская область;21,51;24,76;22,33;28,03;19,71;17,98
г. Севастополь;27,96;27,72;29,71;29,11;4,06;8,27
Северо-Кавказский федеральный округ;7,66;9,05;11,64;11,28;4,25;6,86
Республика Дагестан;3,68;6,11;5,62;7,02;2,39;5,54
Республика Ингушетия;6,98;7,72;10,3;13,91;4,69;3,33
Кабардино-Балкарская Республика;17,53;22,74;26,24;23,92;7,93;21
Карачаево-Черкесская Республика;1,24;2,07;0,98;1,53;1,41;2,5
Республика Северная Осетия-Алания;19,01;20,22;23,07;26,58;11,45;7,06
Чеченская Республика;8,54;5,38;21,81;9,03;1,95;3,5
Ставропольский край;6,21;7,97;5,46;7,57;7,17;8,57
Приволжский федеральный округ;6,79;7,08;6,42;6,66;7,69;8,12
Республика Башкортостан;2,23;3,98;1,98;3,46;2,63;4,81
Республика Марий Эл;16,99;10;14,76;12,88;22,63;4,31
Республика Мордовия;9,14;6,41;13,88;8,62;4,4;2,89
Республика Татарстан;7,76;9,32;6,54;7,41;11,04;15,71
Удмуртская Республика;5,5;5,57;6,99;5,95;2,19;4,83
Чувашская Республика;23,67;20,01;18,44;16,06;29,27;25,93
Пермский край;7,31;8,32;8,54;9,6;4,14;4,42
Кировская область;5,51;3,78;2,62;2,97;13,58;5,93
Нижегородская область;6,84;5,29;6,29;3,86;9,46;10,34
Оренбургская область;2,8;3,59;2,38;3,96;3,52;2,99
Пензенская область;9,95;14,36;13,1;18,76;2,12;5,1
Самарская область;7,78;7,33;8,16;6,62;6,39;10,43
Саратовская область;3,03;4,77;2,98;4,82;3,21;4,63
Ульяновская область;2,78;4,65;1,37;2,24;5,46;10,98
Уральский федеральный округ;4,33;6,76;3,82;6,53;6,26;7,65
Курганская область;7,53;5,55;8,81;5,91;5,15;5,01
Свердловская область;2,41;6,64;2,21;7,1;3,52;4,16
Тюменская область;5,84;8,48;4,87;6,46;8,38;14,9
Ханты-Мансийский авт. округ - Югра;3,09;2,59;3,42;2,86;-;-
Ямало-Ненецкий авт. округ;4,5;10,29;4,98;12;2,1;2,32
Тюменская область без автономий;9,1;14,11;7,44;9,71;10,77;20,27
Челябинская область;4,03;5,75;3,59;5,96;6,35;4,76
Сибирский федеральный округ;4,06;4,57;4,3;4,85;3,27;3,75
Республика Алтай;-;3,21;-;3,57;-;2,98
Республика Тыва;4,25;2,56;7,2;4,11;-;0,57
Республика Хакасия;4,51;7,96;3,1;4,42;7,38;15,85
Алтайский край;1,49;2,26;0,73;2,12;2,49;2,42
Красноярский край;4,06;6,13;4,67;6,73;1,72;3,95
Иркутская область;2,32;2,55;1,65;1,21;5,14;7,93
Кемеровская область;7,81;6,61;8,4;7,48;3,65;0,9
Новосибирская область;2,75;2,54;2,74;2,36;2,81;3,18
Омская область;4,5;5,48;3,78;5,61;7,16;5,06
Томская область;6,62;7,05;8,04;9,51;1,78;-
Дальневосточный федеральный округ;3,43;4,39;3,7;4,22;2,6;4,91
Республика Бурятия;9,75;5,98;12,27;4,49;5;8,38
Республика Саха (Якутия);2,2;3,26;2,59;4,03;1,31;1,55
Забайкальский край;5,89;4,89;7,67;4,58;2,46;5,71
Камчатский край;4,87;7,64;6,19;8,52;-;4,6
Приморский край;1,36;2,77;1,7;2,5;-;3,79
Хабаровский край;1,72;1,36;1,36;1,62;3,53;-
Амурская область;3,41;4,7;3,94;5,94;2,13;1,89
Магаданская область;-;2,73;-;2,5;-;8,14
Сахалинская область;3,29;12,43;0,66;10,1;12,89;23,95
Еврейская автономная область;10,09;14,96;13,89;16,05;-;11,37
Чукотский автономный округ;-;-;-;-;-;-
